industry1_code,industry1_name,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600971,142798651,-0.25,False,13.54,10.4,-2.4,13930144,10.15,10.37,10.1,恒源煤电,10150041310.5,6.57,11.6657,10.31
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000552,91985072,-0.09,False,4.46,3.74,-2.41,24929845,3.65,3.74,3.64,靖远煤电,8347444332.5,3.22,17.6438,3.71
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000937,122120866,-0.14,False,8.3,5.78,-2.42,21523036,5.64,5.77,5.6,冀中能源,19929204234.0,5.38,19.8451,5.77
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601101,100040750,-0.19,False,12.46,7.81,-2.43,12984235,7.62,7.79,7.6,昊华能源,9143986832.64,6.32,12.4122,7.73
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601001,87156070,-0.15,False,8.15,6.12,-2.45,14475723,5.97,6.11,5.93,大同煤业,9991989000.0,4.57,17.1256,6.1
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ002128,249221550,-0.33,False,15.2,10.64,-3.1,23876814,10.31,10.59,10.25,露天煤业,16850442056.63,8.37,9.6035,10.49
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601666,187351332,-0.21,False,8.06,6.42,-3.27,29750429,6.21,6.4,6.16,平煤股份,14662834538.22,4.62,10.4593,6.33
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600348,425577754,-0.33,False,9.55,8.87,-3.72,49365403,8.54,8.79,8.44,阳泉煤业,20538700000.0,5.96,14.0425,8.74
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601699,856782574,-0.54,False,14.94,12.21,-4.42,72411560,11.67,12.09,11.56,潞安环能,34909745364.0,6.53,13.0848,12.0
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600188,581920990,-0.73,False,20.64,15.46,-4.72,38793616,14.73,15.4,14.64,兖州煤业,72353995680.0,9.83,12.4107,15.3
