type_x,industry1_code,industry1_name,type_y,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600711,0.0,0.0,False,10.8,8.65,0.0,0,8.65,0.0,0.0,盛屯矿业,14503442725.65,5.95,32.25,0.0
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600497,531342352.0,0.21,False,8.95,6.67,3.15,78617706,6.88,6.91,6.56,驰宏锌锗,35028085987.84,5.21,,6.67
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600259,205516925.0,1.03,False,59.97,33.18,3.1,6048970,34.21,34.35,33.27,广晟有色,10324656375.11,29.13,505.54,33.3
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000603,79110033.31,0.37,False,17.68,12.03,3.08,6507497,12.4,12.44,11.83,盛达矿业,8555619878.0,11.18,36.941,12.07
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH601168,241942199.0,0.2,False,10.53,7.19,2.78,33218733,7.39,7.4,7.15,西部矿业,17610370000.0,6.23,59.197,7.19
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000697,79676362.58,0.47,False,28.84,19.02,2.47,4092097,19.49,19.69,19.0,炼石有色,10908164155.01,16.01,,19.04
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000426,383979888.49,0.21,False,12.59,10.86,1.93,35548721,11.07,11.13,10.41,兴业矿业,20684301165.99,6.92,51.457,10.75
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600139,51062805.0,0.1,False,13.96,5.64,1.77,8972604,5.74,5.75,5.61,西部资源,3799251515.92,4.61,63.544,5.68
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000758,125028567.54,0.08,False,9.36,6.23,1.28,19869347,6.31,6.36,6.22,中色股份,12426777855.44,5.85,40.327,6.22
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000975,47695852.74,0.08,False,16.43,14.7,0.54,3236276,14.78,14.84,14.6,银泰资源,20938752587.74,11.91,73.41,14.78
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600988,100447661.0,0.02,False,8.42,5.62,0.36,18006413,5.64,5.65,5.53,赤峰黄金,8044791637.44,5.11,25.011,5.56
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600547,425925084.0,0.07,False,37.32,26.72,0.26,16053864,26.79,26.81,26.26,山东黄金,49752212893.11,24.57,34.151,26.55
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600489,188484400.0,0.02,False,13.33,8.8,0.23,21520623,8.82,8.82,8.7,中金黄金,30439030006.98,8.26,117.989,8.78
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000688,50443388.87,0.01,False,11.84,9.73,0.1,5187754,9.74,9.74,9.71,建新矿业,11077295318.36,6.71,25.326,9.74
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600711,0.0,0.0,False,10.8,8.65,0.0,0,8.65,0.0,0.0,盛屯矿业,14503442725.65,5.95,32.25,0.0
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000693,0.0,0.0,False,13.78,12.5,0.0,0,12.5,0.0,0.0,*ST华泽,6793649037.5,12.48,,0.0
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ002155,75783702.52,0.0,False,13.12,8.68,0.0,8794702,8.68,8.68,8.52,湖南黄金,10433702634.32,8.07,35.069,8.66
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000506,0.0,0.0,False,10.85,4.48,0.0,0,4.48,4.9,4.34,中润资源,4161999569.28,4.34,,4.34
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH601958,103668090.0,-0.01,False,10.48,7.09,-0.14,14721447,7.08,7.14,6.95,金钼股份,22844359152.0,6.1,211.232,7.1
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH601069,270856420.0,-0.06,False,26.92,15.2,-0.39,18045721,15.14,15.28,14.77,西部黄金,9629040000.0,12.35,,14.91
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH601899,1820549644.0,-0.02,False,5.55,4.61,-0.43,399975539,4.59,4.65,4.44,紫金矿业,105713294705.1,3.08,40.203,4.62
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600766,17509627.0,-0.05,False,17.5,8.51,-0.59,2079827,8.46,8.55,8.35,园城黄金,1896958914.12,7.45,863.355,8.55
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH603993,2919974187.0,-0.08,False,9.07,9.0,-0.89,330919734,8.92,9.03,8.62,洛阳钼业,192665226000.36,3.96,95.422,8.9
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SZ000813,80450907.95,-0.08,False,9.96,8.6,-0.93,9486217,8.52,8.55,8.35,德展健康,19097424936.0,7.1,24.633,8.55
CSRC,B,采矿业,CSRC,B09,有色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B09,SH600311,103280060.0,-0.17,False,7.29,4.54,-3.74,23959241,4.37,4.43,4.17,荣华实业,2908672000.0,4.12,,4.38
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ002683,44221354.96,0.21,False,11.79,6.86,3.06,6291297,7.07,7.18,6.64,宏大爆破,4959520039.81,6.2,30.545,6.64
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ300191,68369973.7,0.4,False,32.19,19.21,2.08,3509805,19.61,19.77,19.3,潜能恒信,6275200000.0,18.02,667.123,19.34
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ300164,24101845.3,0.13,False,10.05,6.35,2.05,3713114,6.48,6.57,6.38,通源石油,2911218790.32,5.31,68.985,6.39
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SH601808,80349015.0,0.21,False,14.15,10.78,1.95,7373393,10.99,11.0,10.78,中海油服,52439796080.0,10.02,,10.91
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SH600583,90126497.0,0.07,False,8.03,6.4,1.09,14008258,6.47,6.47,6.37,海油工程,28606165556.0,5.8,57.261,6.46
