name,industry2_code,Unnamed: 0,amount,amplitude,chg,current,current_year_percent,dividend_yield,first_percent,float_market_capital,float_shares,followers,has_follow,income_cagr,issue_date_ts,lot_size,main_net_inflows,market_capital,net_profit_cagr,pb,pb_ttm,pcf,pe_ttm,percent,percent5m,ps,roe_ttm,symbol,tick_size,total_percent,total_shares,turnover_rate,type,volume,volume_ratio
华天科技,S2701,26,2529600375.0,3.58,-0.5700000000000001,13.69,83.27,0.107,104.93,37498653805,2739127378,115962.0,False,4.55772750400294,1195488000000,100,-78942924.0,37510651666,29.63388710575461,4.817,,,112.633,-4.0,-0.07,,4.88754849828349,SZ002185,0.01,613.27,2740003774,6.67,11,182670420.0,0.81
大唐电信,S2701,27,268708514.0,3.58,-0.43,10.19,-4.68,0.0,0.0,8971833750,880454735,92258.0,False,-45.26567283165605,908899200000,100,-44552643.0,8988685330,-39.09209474104082,-169.833,,,-10.672,-4.05,-0.1,,6381.436390344081,SH600198,0.01,9.16,882108472,2.96,11,26047084.0,1.31
晓程科技,S2701,28,285527867.0,9.4,-0.37,8.35,-3.91,0.0,30.99,1836545969,219945625,18499.0,False,14.51418549970405,1289491200000,100,6400773.0,2287900000,,2.201,,,-19.608,-4.24,-0.71,,-10.78228023077714,SZ300139,0.01,-50.19,274000000,15.55,11,34192641.0,1.86
瑞芯微,S2701,29,362704787.0,5.08,-3.17,70.0,623.14,0.485,44.01,2940000000,42000000,14302.0,False,11.59571322893396,1581004800000,100,-11299877.0,28859600000,105.641711393905,13.834,,,125.739,-4.33,-0.33,,,SH603893,0.01,521.17,412280000,12.06,11,5067244.0,1.01
晶方科技,S2701,30,1076187707.0,4.18,-3.46,74.35,164.59,0.094,44.0,23907334471,321551237,72501.0,False,25.90753796151917,1391961600000,100,30403383.0,23907334471,175.8037418894703,11.672,,,143.1,-4.45,-0.15,,8.521313129280529,SH603005,0.01,372.91,321551237,4.43,11,14241237.0,1.46
国民技术,S2701,31,361988206.0,3.96,-0.39,8.19,36.27,0.0,79.78,4464014373,545056700,53846.0,False,-19.38935955413879,1272556800000,100,-3342885.0,4566866850,,3.914,,,42.443,-4.55,-0.12,,8.304272074511019,SZ300077,0.01,-73.09,557615000,7.97,11,43447993.0,0.97
华微电子,S2701,32,1023151981.0,4.06,-0.45,9.4,42.64,0.262,181.35,9026775858,960295304,35079.0,False,2.750830524699199,984672000000,100,-98427089.0,9061330258,-27.90178793856752,2.91,,,156.56,-4.57,0.11,,2.151349402131854,SH600360,0.01,237.09,963971304,11.24,11,107921416.0,1.15
斯达半导,S2701,33,557486813.0,5.42,-8.38,160.6,1160.6,0.152,44.03,6424000000,40000000,22772.0,False,18.08352941380495,1580745600000,100,-16132019.0,25696000000,53.80220401514721,24.538,,,179.236,-4.96,-0.43,,,SH603290,0.01,991.96,160000000,8.47,11,3389062.0,0.81
北方华创,S2701,34,2307482163.0,5.16,-9.7,174.09,97.83,0.035,78.79,79705489753,457919624,85046.0,False,34.23747068995331,1268668800000,100,22996388.0,86180025508,48.46226691854469,14.638,,,272.812,-5.28,-0.65,,6.680386738638877,SZ002371,0.01,1364.82,495116773,2.82,11,12952987.0,1.16
圣邦股份,S2701,35,932886786.0,7.69,-23.05,371.05,46.96,0.131,44.0,20765454229,55959508,28016.0,False,36.89264535257235,1496678400000,100,-69810276.0,38450806787,53.08082193760983,50.001,,,201.79,-5.85,-0.54,,18.58196312784616,SZ300661,0.01,1551.82,103618645,4.51,11,2524426.0,1.62
富瀚微,S2701,36,238834619.0,6.67,-12.44,186.6,15.06,0.093,44.0,7817709630,41895550,17243.0,False,25.50968965001303,1487520000000,100,-91199.0,8293399680,,7.09,,,59.951,-6.25,-0.63,,12.57975669382621,SZ300613,0.01,197.97,44444800,2.95,11,1236627.0,1.5
韦尔股份,S2701,37,1451372607.0,7.55,-14.69,185.41,29.3,0.035,44.02,28994224828,156378970,48116.0,False,101.4145050344306,1493827200000,100,-44698568.0,160115737035,212.6280304920688,17.684,,,185.993,-7.34,-0.34,,15.97511918031044,SH603501,0.01,1868.26,863576598,4.85,11,7585265.0,1.45
卓胜微,S2701,38,1690948848.0,9.69,-55.5,593.9,44.72,0.305,44.01,14848750000,25000000,38271.0,False,85.26213997261986,1560787200000,100,-7537433.0,59395000000,119.9103012505843,32.023,,,97.989,-8.55,-0.86,,51.1519324207072,SZ300782,0.01,1450.56,100000000,10.96,11,2740811.0,1.63
*ST盈方,S2701,39,,,,2.25,,0.0,906.67,1351509147,600670732,71158.0,False,,850752000000,100,,1837411560,-69.85181101247986,,,,,,,545.1942282720696,-248.8840298746065,SZ000670,0.01,37.53,816627360,,11,,
三花智控,S3301,0,522719416.0,7.57,0.93,23.53,35.78,0.653,13.67,56676280461,2406636113,53968.0,False,1.706866177649013,1118073600000,100,14093827.0,65124385738,-2.058207307618109,6.858,,,47.482,4.12,-0.8,,15.0715581195586,SZ002050,0.01,2581.13,2765366698,0.9,11,21770791.0,1.85
朗迪集团,S3301,1,112867932.0,5.84,0.47,13.48,15.21,2.652,43.99,2502578176,185651200,5518.0,False,-8.600884531743114,1461168000000,100,12710003.0,2502578176,-23.73888873947633,2.663,,,27.319,3.61,-0.3,,9.897540744051339,SH603726,0.01,62.32,185651200,4.54,11,8422939.0,2.2
金莱特,S3301,2,50064125.0,5.31,0.55,17.13,79.94,0.24,44.1,3012891585,175781306,8490.0,False,-12.38037323968957,1390924800000,100,1539102.0,3288309000,,5.476,,,197.662,3.32,-0.41,,2.771011826132715,SZ002723,0.01,111.44,191850000,1.69,11,2976084.0,1.03
苏泊尔,S3301,3,129498464.0,2.63,1.51,71.21,-7.25,2.26,-8.27,43497062546,610742243,90435.0,False,-3.693775041885794,1092672000000,100,21813118.0,58480159990,-4.821005569099601,8.457,,,34.161,2.17,-0.13,,25.65319777006339,SZ002032,0.01,4649.51,821119910,0.3,11,1832891.0,1.24
秀强股份,S3301,4,136754265.0,4.67,0.08,6.29,67.73,3.19,-4.06,3657161554,582350566,21278.0,False,-9.270466846960035,1294848000000,100,3993105.0,3884195216,7.747686701433465,3.722,,,30.355,1.29,-0.32,,13.16623971913955,SZ300160,0.01,29.74,618502423,3.71,11,21606800.0,1.12
顺威股份,S3301,5,118153598.0,4.62,0.05,4.16,32.48,0.0,-2.72,2995053709,719964834,11908.0,False,-5.866536041996828,1337875200000,100,-933156.0,2995200000,-69.76254777112617,2.862,,,187.974,1.22,0.0,,1.531076352405799,SZ002676,0.01,27.45,720000000,3.94,11,28334848.0,1.31
奥佳华,S3301,6,41432261.0,2.83,0.07,8.89,-15.97,2.275,-11.92,2989961070,335950682,23445.0,False,0.325317029196758,1315497600000,100,3664373.0,4995147250,,1.493,,,22.629,0.79,-0.22,,6.474951914031207,SZ002614,0.01,-14.08,561252500,1.39,11,4669711.0,1.27
闽灿坤B,S3301,7,995525.0,3.79,0.02,2.92,-20.43,3.78,-0.21,535781955,185391680,2488.0,False,-7.032662346604268,741369600000,100,2445.0,535781955,-26.3268964901859,0.648,,,6.176,0.6900000000000001,0.0,,11.04268173165493,SZ200512,0.01,622.65,185391680,0.18,11,339300.0,1.36
美的集团,S3301,8,757121254.0,0.99,0.3,59.06,1.39,2.735,-5.21,404043441396,6838920809,406534.0,False,-3.716043157605864,1379433600000,100,76087818.0,413528528970,3.214495612514656,3.902,,,18.063,0.51,0.08,,23.40635236016257,SZ000333,0.01,552.02,6999467315,0.19,11,12846355.0,0.74
聚隆科技,S3301,9,6968975.0,1.43,0.03,11.24,1.81,0.393,43.98,2474637302,220163461,9793.0,False,-19.72984309599472,1433865600000,100,185097.0,3372000000,-24.7958666778821,3.649,,,59.716,0.27,0.0,,4.456601847206699,SZ300475,0.01,49.29,300000000,0.28,11,620850.0,0.78
海信家电,S3301,10,36230075.0,1.57,0.02,10.24,-16.95,3.865,100.4,9237873562,902136090,24300.0,False,-0.7846696517852411,931795200000,100,-2339926.0,13954307789,-54.88918320398919,1.595,,,9.858,0.2,0.0,,17.12764388583656,SZ000921,0.01,-32.69,1362725370,0.39,11,3548594.0,0.78
东贝B股,S3301,11,,,0.0,1.049,-21.25,2.042,29.29,120635000,115000000,1516.0,False,-3.563568869111555,931968000000,100,-40218.0,246515000,-2.020004431655331,1.295,1.295,0.733104781222355,13.732,0.0,0.0,0.05714111910962601,9.710647246882283,SH900956,0.001,406.27,235000000,,11,,
新宝股份,S3301,12,92936516.0,4.84,-0.03,31.38,90.3,1.252,45.24,24982097800,796115290,22989.0,False,4.909746148880823,1390233600000,100,3813711.0,25150219131,33.08332944337025,5.685,,,34.794,-0.1,0.06,,17.20461834621432,SZ002705,0.01,385.18,801472885,0.37,11,2940124.0,0.92
万和电气,S3301,13,9700514.0,2.45,-0.01,8.14,-14.94,4.049,-6.57,5135032708,630839399,11188.0,False,-12.3540716538819,1296144000000,100,1568743.0,6052904000,1.402656913430999,1.568,,,11.036,-0.12,-0.25,,14.97990256170645,SZ002543,0.01,31.93,743600000,0.19,11,1189083.0,1.43
天际股份,S3301,14,39871216.0,4.1,-0.01,7.8,-13.78,0.52,44.01,3136790023,402152567,16138.0,False,-18.34055045960463,1432742400000,100,559727.0,3136790023,,1.173,,,-36.97,-0.13,-0.13,,-2.760425641164587,SZ002759,0.01,23.34,402152567,1.27,11,5102215.0,1.59
*ST中科,S3301,15,792262.0,1.14,-0.01,5.26,5.41,0.0,25.18,1138653482,216474046,26341.0,False,-2.382027463319813,1251907200000,100,0.0,1276666856,,3.233,,,-1.07,-0.19,-0.19,,-145.3466615762948,SZ002290,0.01,-57.45,242712330,0.07,11,150900.0,0.3
飞科电器,S3301,16,21203420.0,1.41,-0.08,36.12,-4.14,2.762,43.98,15733872000,435600000,29970.0,False,-6.324470347436206,1460908800000,100,393491.0,15733872000,-13.38522128909336,5.706,,,24.141,-0.22,0.0,,23.6158407384831,SH603868,0.01,55.15,435600000,0.13,11,585321.0,1.06
老板电器,S3301,17,245289915.0,3.41,-0.09,30.98,-8.37,1.607,63.17,28972575203,934900781,164986.0,False,-5.532413977370066,1290441600000,100,2370556.0,29410255310,-5.873383706630086,4.143,,,19.436,-0.29,-0.29,,22.48361541490211,SZ002508,0.01,487.19,949024050,0.86,11,8025535.0,2.06
长虹美菱,S3301,18,28508269.0,1.68,-0.01,2.97,-13.41,1.684,138.54,2582444692,872447531,13142.0,False,-18.94831577534255,750873600000,100,-2222505.0,3092009728,,0.656,,,-11.243,-0.34,0.34,,-5.59598672214427,SZ000521,0.01,9.44,1044597881,1.11,11,9658494.0,1.17
海立股份,S3301,19,5341473.0,1.47,-0.03,8.12,-1.58,2.209,-4.92,4726985302,582141047,14767.0,False,-6.57736253334662,721843200000,100,-29103.0,7172398071,-32.77733694900357,1.586,,,33.628,-0.37,-0.25,,4.738061868118757,SH600619,0.01,-26.64,883300255,0.11,11,655601.0,1.11
星帅尔,S3301,20,55519503.0,3.15,-0.06,14.84,9.95,0.8240000000000001,44.02,1956437384,131924301,5823.0,False,28.4823735181007,1491926400000,100,-4570302.0,2953922952,14.8357669731789,3.318,,,22.354,-0.4,-0.07,,15.59383191751473,SZ002860,0.01,49.82,199185634,2.86,11,3779470.0,0.98
融捷健康,S3301,21,13159811.0,1.65,-0.01,2.41,-14.84,0.0,64.69,1587258718,658613576,22596.0,False,-28.08162775736911,1311868800000,100,565527.0,1937737154,,2.262,,,-2.748,-0.41,-0.41,,-58.58029065001824,SZ300247,0.01,-45.0,804040313,0.8200000000000001,11,5426100.0,0.9400000000000001
荣泰健康,S3301,22,24103500.0,1.0,-0.11,25.86,-12.47,5.794,44.0,3620400000,140000000,13370.0,False,-8.339685919695816,1484064000000,100,-385514.0,3620400000,-11.17698269368658,2.182,,,13.538,-0.42,-0.15,,16.68276700611327,SH603579,0.01,4.73,140000000,0.67,11,934485.0,0.47
东方电热,S3301,23,24180930.0,2.09,-0.01,2.38,-2.06,0.417,17.12,2092396628,879158247,,False,-2.137528707087022,1305648000000,100,796938.0,3030915020,-59.9211804995351,1.608,,,-23.357,-0.42,-0.42,,-6.621332423469675,SZ300217,0.01,6.91,1273493706,1.15,11,10096400.0,0.76
奥马电器,S3301,24,87032520.0,3.14,-0.03,4.74,-16.11,0.0,23.18,4008373454,845648408,33126.0,False,-6.017291323991025,1334505600000,100,-8798374.0,5138688169,-78.59845680522116,1.83,,,-163.307,-0.63,0.0,,-1.205379201499704,SZ002668,0.01,54.45,1084111428,2.18,11,18463914.0,0.79
海尔智家,S3301,25,355504958.0,1.49,-0.1,15.32,-21.44,2.437,73.31,96647026659,6308552654,177875.0,False,2.984075310940115,753638400000,100,-15518357.0,100798960726,-16.02825728235957,2.09,,,14.139,-0.65,0.07,,15.89041078917311,SH600690,0.01,4639.76,6579566627,0.37,11,23262039.0,0.72
莱克电气,S3301,26,9702102.0,1.89,-0.2,22.01,-7.01,1.164,44.03,8826010000,401000000,11681.0,False,-7.032119430886652,1431446400000,100,-616883.0,8826010000,12.55737471806799,2.684,,,17.459,-0.9,0.0,,16.42387281310419,SH603355,0.01,8.31,401000000,0.11,11,437300.0,0.54
爱仕达,S3301,27,3853046.0,1.14,-0.08,7.82,-8.0,1.901,0.05,2471294233,315618676,11508.0,False,-14.32954071519416,1273507200000,100,-713884.0,2743011872,,1.288,,,58.731,-1.01,-0.13,,2.12674982735013,SZ002403,0.01,-42.28,350320801,0.16,11,492661.0,0.88
圣莱达,S3301,28,5580601.0,4.08,-0.08,7.76,-12.32,0.0,185.06,1241600000,160000000,9578.0,False,-53.07760263043322,1284048000000,100,389416.0,1241600000,27.25718613926422,7.563,,,-9.642,-1.02,0.0,,-56.66482596834691,SZ002473,0.01,-66.08,160000000,0.45,11,727801.0,1.0
春光科技,S3301,29,17955846.0,2.08,-0.28,24.72,0.32,2.008,43.99,707610000,28625000,4583.0,False,6.988313052987993,1532880000000,100,862338.0,2373120000,7.321070684797615,2.687,,,22.255,-1.12,-0.32,,12.27326244253542,SH603657,0.01,15.65,96000000,2.52,11,720000.0,0.74
格力电器,S3301,30,1610688378.0,1.65,-0.74,57.28,-12.66,2.069,1900.0,341969046572,5970130003,849245.0,False,-11.99901966150295,848246400000,100,-44106247.0,344581064692,-32.8454914479125,3.053,,,16.747,-1.28,-0.23,,19.94130035778138,SZ000651,0.01,51547.37,6015730878,0.47,11,28039663.0,0.98
